Wavelength (nm);[buf]-005-1-1chaps;[buf]-005-1-1chaps1;[buf]-5-1-1;[buf]-5-1-2; [buf]-10.1; [buf]-10.1 1; [buf]-10.2; [buf]-10.2 1; [buf]-10.2 2; [buf]-Buf; [buf]-10.11;A [H20}-buf;A [buf}-buf;A [buf}-buf 1;A [buf}-10.21;A [buf}-10.22;A [buf}-10.23;A [Buf]-9.1;A [Buf]-9.2;A [Buf]-9.3;A [Buf];A [Buf]-1.11;A [Buf]-1.12;A [Buf]-1.13;A [Buf]-1.13 1;A [Buf]-Buf;A [Buf]-2.11;A [Buf]-2.12;A [Buf]-2.13
772;1,473;2,894;-0,236;0,729;-1,769;-0,289;-1,768;-1,756;-1,831;1,875;9,392;-0,075;-0,011;0,010;0,064;0,015;-0,012;0,030;0,016;0,039;0,016;0,080;0,010;0,026;-0,023;0,044;0,085;0,050;-0,003
773;1,467;2,887;-0,282;0,721;-1,769;-0,261;-1,716;-1,723;-1,812;1,854;9,352;-0,103;-0,045;0,014;0,039;0,044;-0,002;-0,057;0,007;0,005;-0,014;0,069;0,045;0,012;0,012;0,008;0,049;0,034;0,001
774;1,523;2,925;-0,307;0,734;-1,744;-0,242;-1,675;-1,687;-1,764;1,828;9,211;-0,095;-0,053;0,015;0,026;0,034;-0,030;-0,108;0,017;0,029;-0,024;0,047;0,053;0,007;0,016;-0,025;-0,003;-0,005;-0,005
775;1,516;2,889;-0,263;0,702;-1,707;-0,207;-1,656;-1,665;-1,731;1,824;9,116;-0,057;-0,059;0,001;-0,014;0,014;-0,020;-0,097;0,026;0,078;0,015;0,020;0,011;0,000;-0,007;-0,029;-0,015;0,034;0,010
776;1,444;2,853;-0,288;0,692;-1,658;-0,174;-1,644;-1,650;-1,692;1,822;9,196;-0,031;-0,044;0,015;0,021;0,016;0,004;-0,094;0,040;0,089;-0,014;0,043;0,013;0,001;-0,014;-0,051;-0,025;0,068;0,028
777;1,447;2,893;-0,320;0,720;-1,654;-0,214;-1,633;-1,635;-1,674;1,794;9,073;-0,019;-0,023;0,059;0,058;0,027;0,003;-0,111;0,017;0,002;-0,017;0,048;0,025;-0,010;-0,010;-0,026;0,003;0,081;0,011
778;1,450;2,868;-0,368;0,731;-1,708;-0,277;-1,661;-1,660;-1,698;1,774;9,070;0,022;0,003;0,038;0,010;-0,040;-0,048;-0,105;0,020;-0,082;0,004;0,037;0,023;0,004;-0,022;-0,003;0,004;0,027;-0,003
779;1,456;2,861;-0,316;0,716;-1,739;-0,322;-1,687;-1,657;-1,718;1,821;9,324;0,000;-0,037;0,035;0,013;-0,080;-0,035;-0,094;0,053;-0,083;0,035;0,017;0,007;0,018;-0,047;-0,016;-0,001;-0,014;-0,041
780;1,484;2,845;-0,266;0,693;-1,752;-0,364;-1,737;-1,671;-1,749;1,806;9,379;-0,039;-0,043;-0,001;-0,002;-0,107;0,006;-0,079;0,069;-0,019;0,044;0,009;0,035;0,027;-0,008;-0,060;-0,004;-0,014;-0,004
781;1,481;2,894;-0,223;0,699;-1,737;-0,341;-1,727;-1,630;-1,709;1,772;9,382;-0,058;-0,023;0,020;-0,009;-0,091;0,043;-0,081;0,013;-0,033;0,034;-0,003;0,034;0,020;0,034;-0,064;-0,016;-0,023;0,008
