Wavelength (nm);[buf]-005-1-1chaps;[buf]-005-1-1chaps1;[buf]-5-1-1;[buf]-5-1-2; [buf]-10.1; [buf]-10.1 1; [buf]-10.2; [buf]-10.2 1; [buf]-10.2 2; [buf]-Buf; [buf]-10.11;A [H20}-buf;A [buf}-buf;A [buf}-buf 1;A [buf}-10.21;A [buf}-10.22;A [buf}-10.23;A [Buf]-9.1;A [Buf]-9.2;A [Buf]-9.3;A [Buf];A [Buf]-1.11;A [Buf]-1.12;A [Buf]-1.13;A [Buf]-1.13 1;A [Buf]-Buf;A [Buf]-2.11;A [Buf]-2.12;A [Buf]-2.13
838;1,545;2,856;-0,331;0,627;-1,763;-0,258;-1,718;-1,691;-1,811;1,768;9,322;0,010;0,011;0,063;0,030;0,022;-0,021;0,080;0,058;0,081;-0,011;-0,037;-0,001;-0,082;-0,047;0,024;0,074;-0,009;-0,014
839;1,571;2,825;-0,356;0,634;-1,737;-0,261;-1,722;-1,667;-1,801;1,764;9,403;0,055;0,104;0,054;0,032;0,004;-0,023;0,057;0,088;0,071;0,021;0,039;0,027;-0,056;-0,036;0,034;0,059;-0,010;0,028
840;1,560;2,798;-0,343;0,691;-1,705;-0,252;-1,665;-1,658;-1,740;1,739;9,279;0,088;0,093;0,073;0,025;-0,021;-0,053;0,048;0,046;0,065;0,014;0,109;0,068;0,015;0,036;0,012;-0,029;-0,057;-0,002
841;1,516;2,863;-0,324;0,665;-1,649;-0,262;-1,619;-1,612;-1,712;1,700;9,161;0,036;0,013;0,093;0,005;-0,020;-0,052;0,039;-0,029;0,039;-0,013;0,068;0,072;0,010;0,050;0,013;-0,032;-0,109;-0,072
842;1,507;2,938;-0,269;0,724;-1,681;-0,302;-1,606;-1,643;-1,740;1,716;9,289;-0,020;0,041;0,082;-0,007;0,004;-0,020;0,089;0,026;0,064;-0,029;0,041;0,027;0,012;0,002;0,014;0,024;-0,138;-0,062
843;1,500;2,947;-0,304;0,790;-1,757;-0,328;-1,646;-1,671;-1,752;1,724;9,667;-0,042;0,074;0,036;0,016;0,016;0,011;0,131;0,128;0,067;-0,012;-0,006;-0,011;-0,025;-0,023;0,006;0,057;-0,140;-0,045
844;1,535;2,937;-0,289;0,803;-1,770;-0,355;-1,697;-1,707;-1,778;1,742;9,870;0,018;0,121;0,042;0,076;0,025;0,001;0,173;0,150;0,071;-0,001;-0,034;-0,034;-0,102;-0,024;0,018;0,007;-0,126;-0,113
845;1,580;2,946;-0,270;0,727;-1,704;-0,371;-1,722;-1,671;-1,809;1,717;10,00;0,027;0,087;0,046;0,115;0,032;-0,017;0,144;0,094;0,037;0,002;0,033;-0,030;-0,125;0,012;0,055;-0,035;-0,129;-0,114
846;1,589;2,964;-0,369;0,661;-1,651;-0,283;-1,639;-1,594;-1,766;1,659;9,966;0,039;0,032;0,062;0,088;0,111;-0,078;0,072;0,032;-0,021;0,050;0,070;-0,029;-0,083;0,007;0,059;-0,102;-0,067;-0,083
847;1,397;2,803;-0,367;0,603;-1,563;-0,263;-1,590;-1,525;-1,605;1,624;9,862;0,105;0,084;0,062;-0,001;0,044;-0,127;-0,057;0,016;-0,095;0,120;-0,025;-0,010;-0,079;0,013;0,002;-0,114;-0,082;-0,035
848;1,304;2,706;-0,358;0,681;-1,611;-0,338;-1,608;-1,565;-1,604;1,746;10,00;0,179;0,133;-0,002;-0,050;-0,054;-0,194;-0,156;0,019;-0,113;0,060;-0,002;0,056;-0,026;-0,037;-0,063;-0,091;-0,005;0,016
849;1,475;2,882;-0,381;0,781;-1,724;-0,333;-1,662;-1,647;-1,632;1,901;10,27;0,099;0,046;-0,061;-0,007;-0,125;-0,154;-0,176;0,020;-0,135;-0,011;0,133;0,117;0,047;-0,097;-0,101;-0,073;0,035;0,043
850;1,538;3,068;-0,387;0,820;-1,705;-0,159;-1,627;-1,652;-1,636;1,962;10,64;0,061;0,039;-0,032;-0,002;-0,052;-0,125;-0,171;0,052;-0,109;-0,051;0,115;0,040;0,020;-0,009;0,019;-0,040;0,021;0,009
851;1,460;3,138;-0,417;0,738;-1,600;-0,046;-1,590;-1,640;-1,688;1,989;10,68;0,019;0,053;0,024;-0,086;-0,074;-0,029;-0,164;0,055;-0,108;-0,110;0,115;0,012;0,048;0,050;0,104;-0,028;-0,096;-0,013
852;1,484;3,184;-0,444;0,659;-1,580;-0,114;-1,675;-1,659;-1,684;1,905;10,54;-0,030;0,062;0,017;-0,031;-0,012;-0,025;-0,015;0,066;-0,023;-0,069;-0,005;-0,025;0,025;-0,037;0,001;-0,066;-0,177;0,001
853;1,587;3,256;-0,364;0,655;-1,617;-0,173;-1,669;-1,669;-1,673;1,808;10,09;-0,069;0,035;-0,010;-0,014;0,001;-0,065;0,044;0,010;0,012;-0,054;0,016;0,023;0,012;-0,067;0,011;-0,077;-0,231;-0,129
854;1,567;3,160;-0,279;0,734;-1,651;-0,274;-1,691;-1,697;-1,682;1,677;9,867;-0,126;-0,058;0,140;0,027;0,023;-0,080;-0,019;-0,148;-0,060;-0,033;0,001;-0,010;-0,061;-0,026;0,037;-0,180;-0,172;-0,153
855;1,554;2,977;-0,233;0,740;-1,731;-0,306;-1,655;-1,789;-1,765;1,648;9,884;-0,060;-0,003;0,103;-0,012;-0,002;-0,089;0,000;-0,099;-0,031;0,065;-0,084;-0,029;-0,140;-0,003;0,028;-0,104;-0,073;-0,066
856;1,508;3,045;-0,287;0,858;-1,735;-0,354;-1,654;-1,694;-1,762;1,754;10,37;0,002;-0,017;-0,041;0,008;-0,095;-0,161;0,017;0,024;-0,012;0,105;0,016;-0,001;-0,010;0,022;0,017;0,020;-0,044;0,030
857;1,612;3,114;-0,349;0,893;-1,632;-0,262;-1,526;-1,634;-1,691;1,859;10,60;-0,014;0,007;-0,009;0,058;-0,102;-0,158;0,122;0,035;-0,003;0,072;0,025;0,079;0,029;-0,115;-0,075;0,013;0,004;0,091
858;1,685;3,132;-0,371;0,859;-1,668;-0,235;-1,565;-1,668;-1,706;1,930;10,94;-0,088;-0,059;0,105;0,153;-0,015;-0,031;0,086;-0,046;-0,050;0,018;-0,049;0,005;-0,016;-0,087;-0,022;-0,051;0,065;0,150
859;1,648;3,107;-0,348;0,738;-1,826;-0,273;-1,665;-1,783;-1,741;1,987;11,23;-0,100;-0,054;0,048;0,082;-0,006;-0,115;0,077;0,019;-0,003;-0,052;-0,144;-0,123;-0,173;-0,021;-0,025;-0,053;0,096;0,113
860;1,621;3,138;-0,367;0,758;-1,878;-0,229;-1,755;-1,810;-1,790;1,967;11,09;-0,059;-0,005;-0,135;-0,063;-0,084;-0,183;0,047;0,115;0,021;-0,105;-0,093;-0,105;-0,235;0,022;0,036;0,014;0,045;0,079
861;1,592;3,166;-0,413;0,849;-1,761;-0,219;-1,732;-1,785;-1,751;1,935;10,79;-0,086;0,075;-0,181;-0,027;-0,138;-0,194;0,063;0,089;0,005;-0,021;0,046;-0,021;-0,143;0,039;0,053;0,085;-0,024;-0,003
862;1,551;3,155;-0,389;0,800;-1,593;-0,191;-1,629;-1,698;-1,665;1,934;10,80;0,002;0,096;-0,063;0,040;-0,219;-0,173;0,043;0,022;0,006;0,055;0,185;0,016;-0,086;0,044;0,040;0,011;0,019;-0,076
863;1,496;3,200;-0,335;0,623;-1,643;-0,239;-1,699;-1,669;-1,719;1,950;10,80;0,079;0,045;-0,013;-0,014;-0,198;-0,215;0,030;-0,007;-0,057;0,110;0,074;0,002;-0,186;0,070;0,039;-0,048;0,014;-0,097
864;1,509;3,199;-0,241;0,576;-1,704;-0,275;-1,741;-1,687;-1,762;1,996;10,79;0,074;0,010;-0,022;-0,136;-0,100;-0,189;0,037;0,065;0,001;0,175;0,042;0,044;-0,161;0,125;0,096;-0,031;-0,042;-0,112
865;1,503;3,048;-0,255;0,513;-1,778;-0,377;-1,763;-1,719;-1,750;1,938;10,85;-0,006;-0,042;-0,092;-0,141;-0,072;-0,222;0,009;0,028;-0,013;0,080;0,066;0,127;-0,034;-0,004;0,051;0,068;-0,068;-0,116
866;1,485;3,002;-0,226;0,589;-1,802;-0,413;-1,778;-1,755;-1,733;1,823;10,52;-0,018;-0,061;-0,078;-0,044;-0,108;-0,112;0,016;-0,017;-0,006;-0,040;0,025;0,022;-0,018;-0,090;-0,062;0,010;-0,076;-0,132
867;1,405;2,885;-0,358;0,727;-1,933;-0,585;-1,912;-1,894;-1,954;1,881;10,17;-0,018;-0,034;0,027;0,042;-0,037;-0,013;0,170;0,050;0,061;-0,080;-0,091;-0,145;-0,038;-0,060;-0,101;0,029;-0,081;-0,081
868;1,409;2,926;-0,391;0,744;-1,894;-0,503;-1,828;-1,861;-1,905;1,920;10,29;-0,059;-0,127;0,085;0,073;0,009;-0,034;0,226;0,118;0,089;-0,012;-0,074;-0,170;-0,077;0,034;-0,025;0,018;-0,077;-0,043
869;1,468;3,009;-0,371;0,705;-1,882;-0,395;-1,747;-1,799;-1,833;1,861;10,76;-0,024;-0,133;-0,009;-0,158;-0,015;-0,117;0,179;0,126;0,038;0,023;-0,027;-0,108;-0,119;0,019;0,029;-0,046;-0,069;-0,083
870;1,442;3,020;-0,274;0,639;-1,762;-0,234;-1,663;-1,649;-1,734;1,690;10,66;-0,009;-0,111;-0,102;-0,204;-0,084;-0,152;0,140;0,061;0,015;0,047;-0,036;0,008;-0,124;-0,008;0,080;-0,103;-0,089;-0,166
871;1,439;2,949;-0,221;0,636;-1,785;-0,287;-1,674;-1,674;-1,764;1,681;10,54;0,028;-0,005;-0,015;-0,130;-0,013;-0,069;0,164;0,063;0,008;-0,053;-0,065;0,051;-0,087;-0,003;0,119;-0,119;-0,127;-0,186
872;1,375;2,854;-0,151;0,545;-1,796;-0,319;-1,702;-1,719;-1,737;1,779;10,48;-0,012;-0,031;0,018;-0,079;-0,021;-0,037;0,108;0,080;-0,009;-0,021;-0,049;0,014;-0,067;-0,015;0,018;-0,081;-0,157;-0,159
873;1,384;2,841;-0,135;0,508;-1,828;-0,387;-1,819;-1,811;-1,780;1,898;10,30;0,025;0,069;-0,034;0,027;-0,026;-0,030;-0,020;0,011;-0,026;0,084;-0,093;-0,055;-0,162;-0,083;-0,090;-0,059;-0,120;-0,125
874;1,560;2,914;-0,228;0,660;-1,784;-0,502;-1,850;-1,868;-1,854;1,812;10,23;0,049;0,121;-0,031;0,012;-0,022;-0,047;-0,039;-0,046;-0,044;0,110;-0,045;-0,082;-0,232;-0,147;-0,114;-0,024;-0,023;-0,077
875;1,594;3,021;-0,404;0,699;-1,720;-0,481;-1,741;-1,722;-1,778;1,671;10,31;-0,032;0,063;-0,003;-0,054;-0,024;0,000;-0,039;-0,019;-0,031;0,070;0,016;-0,002;-0,113;-0,088;-0,083;0,065;0,059;0,025
876;1,512;3,034;-0,424;0,663;-1,676;-0,437;-1,653;-1,602;-1,674;1,737;10,58;-0,032;0,015;0,074;-0,016;0,052;0,052;-0,103;0,008;-0,080;0,042;0,026;-0,030;-0,034;-0,042;-0,065;0,062;0,100;0,094
877;1,360;2,916;-0,425;0,606;-1,658;-0,363;-1,644;-1,634;-1,689;1,755;10,17;-0,039;0,002;0,101;0,034;0,103;0,019;-0,084;0,080;-0,106;-0,002;0,065;0,025;-0,023;-0,039;-0,081;0,052;0,114;0,107
878;1,376;2,780;-0,468;0,578;-1,589;-0,311;-1,569;-1,612;-1,682;1,665;9,706;-0,034;-0,013;0,079;0,011;0,067;0,029;-0,030;0,139;-0,031;-0,059;0,120;0,095;-0,017;-0,063;-0,102;0,004;0,028;-0,024
879;1,368;2,760;-0,425;0,570;-1,645;-0,264;-1,597;-1,654;-1,710;1,593;9,602;-0,020;-0,051;0,022;-0,042;-0,020;-0,045;0,027;0,123;0,042;-0,071;0,105;0,049;-0,032;-0,045;-0,059;-0,040;-0,052;-0,102
880;1,349;2,755;-0,395;0,594;-1,695;-0,262;-1,672;-1,710;-1,737;1,659;9,326;-0,072;-0,079;0,013;-0,015;-0,066;-0,105;0,040;0,084;0,055;-0,083;0,025;-0,015;-0,109;-0,004;-0,062;-0,062;-0,041;-0,101
881;1,304;2,722;-0,410;0,598;-1,692;-0,311;-1,704;-1,699;-1,788;1,689;8,974;-0,080;-0,083;-0,017;-0,070;-0,090;-0,168;0,014;0,039;-0,008;-0,093;-0,036;-0,054;-0,143;0,026;-0,068;-0,086;-0,046;-0,121
882;1,308;2,739;-0,397;0,619;-1,682;-0,299;-1,689;-1,621;-1,750;1,690;8,860;-0,043;-0,050;-0,002;-0,058;-0,072;-0,153;0,048;0,054;0,012;-0,043;-0,041;-0,067;-0,104;0,033;-0,034;-0,068;-0,040;-0,104
883;1,375;2,813;-0,340;0,625;-1,666;-0,225;-1,636;-1,567;-1,685;1,692;9,011;-0,008;0,019;0,019;-0,025;0,018;-0,068;0,036;0,069;0,025;0,001;-0,001;-0,034;-0,057;0,035;-0,009;-0,070;-0,018;-0,090
884;1,445;2,894;-0,331;0,623;-1,655;-0,205;-1,610;-1,538;-1,626;1,688;9,113;-0,008;0,017;0,035;-0,025;0,033;-0,040;0,005;0,075;0,028;0,002;-0,006;-0,028;-0,046;0,034;-0,014;-0,070;-0,015;-0,070
885;1,432;2,858;-0,343;0,639;-1,635;-0,227;-1,593;-1,532;-1,618;1,688;9,175;-0,027;0,019;0,018;-0,047;-0,009;-0,062;-0,008;0,050;-0,012;-0,028;-0,028;-0,033;-0,056;0,031;-0,023;-0,069;-0,049;-0,066
886;1,431;2,809;-0,392;0,620;-1,581;-0,241;-1,570;-1,523;-1,616;1,741;9,268;-0,019;-0,016;0,014;-0,068;-0,032;-0,048;-0,024;0,016;-0,005;-0,047;-0,014;-0,003;-0,052;0,030;-0,029;-0,044;-0,061;-0,041
887;1,453;2,870;-0,380;0,618;-1,565;-0,235;-1,555;-1,548;-1,650;1,742;9,326;0,020;0,004;0,008;-0,058;-0,008;-0,029;-0,032;0,034;-0,013;0,018;-0,011;-0,007;-0,025;-0,022;-0,083;-0,053;-0,090;-0,055
888;1,484;2,972;-0,363;0,668;-1,586;-0,235;-1,563;-1,557;-1,651;1,676;9,498;0,038;-0,012;-0,007;-0,065;0,017;-0,097;0,042;0,069;0,030;0,046;-0,019;-0,044;-0,036;-0,052;-0,099;-0,039;-0,076;-0,064
889;1,440;3,062;-0,366;0,742;-1,620;-0,224;-1,551;-1,550;-1,598;1,668;9,807;-0,004;-0,057;-0,016;-0,118;0,027;-0,136;0,092;0,073;-0,025;0,004;0,033;-0,005;-0,021;-0,055;-0,082;-0,072;-0,099;-0,114
890;1,343;2,980;-0,413;0,735;-1,612;-0,255;-1,570;-1,563;-1,568;1,682;9,881;-0,084;-0,091;-0,022;-0,122;-0,020;-0,128;0,081;0,041;-0,094;-0,014;0,033;0,052;-0,030;-0,086;-0,028;-0,100;-0,131;-0,147
891;1,286;2,769;-0,417;0,745;-1,614;-0,337;-1,588;-1,615;-1,630;1,715;9,826;-0,146;-0,072;0,032;-0,049;-0,117;-0,115;0,016;0,022;-0,044;0,003;-0,014;0,046;-0,054;-0,087;-0,004;-0,176;-0,189;-0,120
892;1,325;2,729;-0,388;0,701;-1,602;-0,379;-1,575;-1,579;-1,652;1,694;9,829;-0,068;-0,013;0,082;-0,034;-0,113;-0,088;0,060;0,048;0,033;0,043;-0,025;0,011;-0,045;-0,042;0,019;-0,159;-0,150;-0,078
893;1,423;2,816;-0,269;0,674;-1,596;-0,319;-1,610;-1,524;-1,609;1,666;9,702;0,044;0,034;-0,014;-0,109;-0,072;-0,109;0,109;0,126;0,088;0,048;0,044;0,026;-0,050;-0,044;-0,029;-0,075;-0,094;-0,095
894;1,453;2,859;-0,287;0,645;-1,671;-0,336;-1,698;-1,568;-1,707;1,610;9,376;0,053;-0,010;-0,038;-0,141;-0,046;-0,175;0,040;0,064;0,050;-0,016;-0,005;-0,001;-0,031;-0,026;-0,052;-0,061;-0,075;-0,116
895;1,397;2,794;-0,372;0,674;-1,685;-0,300;-1,696;-1,609;-1,747;1,672;9,063;-0,030;-0,066;-0,031;-0,124;-0,042;-0,160;-0,001;0,067;0,073;-0,052;-0,017;-0,024;0,001;-0,026;-0,037;-0,019;-0,027;-0,102
896;1,408;2,865;-0,349;0,682;-1,689;-0,292;-1,653;-1,610;-1,736;1,764;9,071;0,007;-0,006;-0,013;-0,064;-0,042;-0,088;-0,023;0,073;0,107;-0,035;0,033;0,032;0,021;-0,017;-0,015;-0,027;-0,028;-0,114
897;1,483;2,950;-0,310;0,754;-1,713;-0,318;-1,646;-1,618;-1,713;1,756;9,313;0,040;0,057;-0,066;-0,035;-0,058;-0,051;-0,003;0,081;0,088;0,030;0,068;0,080;0,058;-0,057;0,004;-0,067;-0,062;-0,129
898;1,505;2,922;-0,273;0,729;-1,727;-0,301;-1,701;-1,626;-1,746;1,824;9,716;0,008;-0,004;-0,105;-0,023;-0,079;-0,030;0,011;0,049;0,043;0,030;0,063;0,075;0,076;-0,043;0,009;-0,108;-0,100;-0,134
899;1,504;2,914;-0,284;0,718;-1,772;-0,292;-1,749;-1,655;-1,797;1,861;10,06;0,023;-0,068;-0,093;0,015;-0,126;-0,059;-0,042;0,118;0,042;0,045;0,036;0,005;0,039;-0,002;-0,003;-0,039;-0,034;-0,090
900;1,478;2,957;-0,297;0,707;-1,759;-0,316;-1,703;-1,689;-1,797;1,795;10,07;0,044;-0,050;-0,060;-0,014;-0,185;-0,089;-0,034;0,078;0,007;-0,049;-0,016;-0,001;-0,004;0,010;-0,019;-0,010;-0,061;-0,058
